message;severity;node;stamp;topics;location
"received value is: 0.035000";"2";"/subscriber";"1570425810.631719936";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.034000";"2";"/subscriber";"1570425809.631295171";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.033000";"2";"/subscriber";"1570425808.631227653";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.032000";"2";"/subscriber";"1570425807.631094893";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.031000";"2";"/subscriber";"1570425806.630891061";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.030000";"2";"/subscriber";"1570425805.630586641";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.029000";"2";"/subscriber";"1570425804.631895731";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.028000";"2";"/subscriber";"1570425803.631395960";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.027000";"2";"/subscriber";"1570425802.631034138";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.026000";"2";"/subscriber";"1570425801.631300158";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.025000";"2";"/subscriber";"1570425800.631648721";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.024000";"2";"/subscriber";"1570425799.631767733";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.023000";"2";"/subscriber";"1570425798.631900729";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.022000";"2";"/subscriber";"1570425797.631454469";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.021000";"2";"/subscriber";"1570425796.631159470";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.020000";"2";"/subscriber";"1570425795.630653081";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.019000";"2";"/subscriber";"1570425794.630559783";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.018000";"2";"/subscriber";"1570425793.630899314";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.017000";"2";"/subscriber";"1570425792.630728403";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.016000";"2";"/subscriber";"1570425791.630795835";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.015000";"2";"/subscriber";"1570425790.630463246";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.013000";"2";"/subscriber";"1570424176.871543712";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.012000";"2";"/subscriber";"1570424175.872507398";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.011000";"2";"/subscriber";"1570424174.871681689";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.010000";"2";"/subscriber";"1570424173.872390681";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.009000";"2";"/subscriber";"1570424172.872015155";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.008000";"2";"/subscriber";"1570424171.871553555";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.007000";"2";"/subscriber";"1570424170.872057313";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.006000";"2";"/subscriber";"1570424169.872078138";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.005000";"2";"/subscriber";"1570424168.871425217";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
